population,city,country,latitude,longitude,original_name,the_geom,cartodb_id,created_at,updated_at
150178,Piedras Negras,Mexico,,,,,2740,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
203007,Oxnard,USA,34.2023,-119.2046,,0101000020E6100000BE30992A18CD5DC08BFD65F7E4194140,2054,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
163049,Desē,Ethiopia,11.15,39.66,,0101000020E610000014AE47E17AD44340CDCCCCCCCC4C2640,2532,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
147478,Torrance,USA,33.835,-118.3414,,0101000020E6100000AEB6627FD9955DC07B14AE47E1EA4040,2795,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
140000,Oturkpo,Nigeria,"7,195","8,136",,0101000020E61000001283C0CAA145204048E17A14AEC71C40,2948,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
119647,Derbent,Russia,42.05,48.3,,0101000020E610000066666666662648406666666666064540,3401,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
142579,Bima,Indonesia,,,,,2896,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
22265426,Shanghai,China,31.2253441,121.4888922,上海,0101000020E61000003F9182024A5F5E40B8D8A326B0393F40,1,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
350000,Cabinda,Angola,-5.6,12.19,,0101000020E6100000E17A14AE4761284066666666666616C0,1208,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
205059,Akyab,Myanmar,"20,14","92,89",,0101000020E6100000295C8FC2F5385740A4703D0AD7233440,2020,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
198565,Kaolack,Senegal,"14,156","-16,077",,0101000020E6100000C1CAA145B61330C01D5A643BDF4F2C40,2112,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
